2738`1973-12-25 00:00:00.000
2739`1979-05-01 00:00:00.000
2740`1990-03-03 00:00:00.000
2741`1978-08-11 00:00:00.000
2742`1965-02-07 00:00:00.000
2743`1996-06-29 00:00:00.000
2744`1964-03-11 00:00:00.000
2745`1993-02-26 00:00:00.000
2747`1992-08-02 00:00:00.000
2748`1989-12-08 00:00:00.000
2751`1992-01-16 00:00:00.000
2752`1963-02-10 00:00:00.000
2755`1938-07-03 00:00:00.000
2756`1999-04-07 00:00:00.000
2759`1999-10-09 00:00:00.000
2760`1968-07-11 00:00:00.000
2761`1964-07-01 00:00:00.000
2762`1954-09-27 00:00:00.000
2763`1975-06-15 00:00:00.000
2764`1993-03-20 00:00:00.000
2765`1961-08-06 00:00:00.000
2766`1995-07-05 00:00:00.000
2767`1959-12-26 00:00:00.000
2768`1993-08-31 00:00:00.000
2769`1972-12-24 00:00:00.000
2770`1968-12-26 00:00:00.000
2771`1968-10-09 00:00:00.000
2772`1976-03-27 00:00:00.000
2773`1974-03-19 00:00:00.000
2774`1987-05-06 00:00:00.000
2775`2000-03-08 00:00:00.000
2777`1984-10-11 00:00:00.000
2778`1978-05-03 00:00:00.000
2780`2000-12-03 00:00:00.000
2783`2002-02-07 00:00:00.000
2812`1993-10-26 00:00:00.000
2840`1981-05-29 00:00:00.000
2899`2004-07-01 00:00:00.000
4171`2004-05-18 00:00:00.000
4170`2004-07-28 00:00:00.000

(40 rows affected)
